ｘ,?action=edit,,?preview_id=,Platform,ID,案件名,単価,合計,2019/04/01,2019/04/02,2019/04/03,2019/04/04,2019/04/05,2019/04/06,2019/04/07,2019/04/08,2019/04/09,2019/04/10,2019/04/11,2019/04/12,2019/04/13,2019/04/14,2019/04/15,2019/04/16,2019/04/17,2019/04/18,2019/04/19,2019/04/20,2019/04/21,2019/04/22,2019/04/23,2019/04/24,2019/04/25,2019/04/26,2019/04/27,2019/04/28,2019/04/29,2019/04/30,
売上,台湾SEO,,Simply Fit,access_trade,1062128,Simply Fit,"¥5,000",¥0,,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,,,,,,,,,,,,,,,,,,,,,,
売上,台湾SEO,,maNara(1番),resultplus,4081_8211,maNara(1番),"¥3,000",¥0,,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,,,,,,,,,,,,,,,,,,,,,,
売上,台湾SEO,,ViTAKT,zucks_affiliate,full_out_1_e8192973bb8294a28787f3ffdce78a88,ViTAKT,"¥4,500",¥0,,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,,,,,,,,,,,,,,,,,,,,,,
売上,台湾SEO,,ナイトアイボーテ,access_trade,1068972,ナイトアイボーテ,"¥4,500",¥0,,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,,,,,,,,,,,,,,,,,,,,,,
売上,台湾SEO,,DMJ葛の花減脂粒,access_trade,1070094,DMJ葛の花減脂粒,"¥9,500",¥0,,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,,,,,,,,,,,,,,,,,,,,,,
売上,台湾SEO,,デリーモ(PF切り替え前),lagoon,79_9,デリーモ,"¥12,519",¥0,,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,,,,,,,,,,,,,,,,,,,,,,
売上,台湾SEO,,デリーモ(PF切り替え前),access_trade,1081683,デリーモ,"¥4,500",¥0,,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,,,,,,,,,,,,,,,,,,,,,,
売上,台湾SEO,,はピート,resultplus,,はピート,"¥5,000",¥0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
売上,台湾SEO,,アロンザ,,,アロンザ,"¥4,315",¥0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
売上,台湾SEO,,マキシマムマッスル,,,マキシマムマッスル,"¥4,205",¥0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
売上,台湾SEO,,快朝酵素,access_trade,1069444,快朝酵素,"¥3,500",¥0,,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,,,,,,,,,,,,,,,,,,,,,,
売上,台湾SEO,,プレミアムベルエタンセル,,,プレミアムベルエタンセル,"¥3,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
売上,LIL,,スララーナ,,,MH様手動承認,"¥10,500",¥0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
売上,LIL,,スルスルむくみん,zucks_affiliate,full_out_4_f82cfad3159bc26e608ee0b44ec827a8,スルスルむくみん,"¥13,000",¥0,,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,,,,,,,,,,,,,,,,,,,,,,
売上,LIL,,スラキュア,,,AG様手動承認,"¥5,000",¥0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
